text,label,start_char,end_char,wikidata_qid,geonames_id,note,visited_type,visited_type_note
leeuw,E20_Biological_Object,8470,8475,,,,,
tyger,E20_Biological_Object,8477,8482,,,,,
Kaapsche ezel,E20_Biological_Object,8484,8497,,,,,
luipaard,E20_Biological_Object,8499,8507,,,,,
drommedaris,E20_Biological_Object,8509,8520,,,,,
wild zwyn,E20_Biological_Object,8522,8531,,,,,
rendier,E20_Biological_Object,8535,8542,,,,,
galery door eene ry van zuilen ondersteund,E53_Place,8601,8643,NIL,NIL,,IN,Arguably also TO and FROM or THRU
vestibule,E53_Place,8666,8675,NIL,NIL,"Room in museum

",IN,Arguably also TO and FROM or THRU
geheele gebouw,E18_Physical_Thing,8684,8698,,,,NO REL,
Frederikplein,E53_Place,8721,8734,Q1430309,11001975.0,,IN,
veele stukken,E19_Physical_Object,8813,8826,,,,,
Parys,E53_Place,8876,8881,Q90,2988507,,NO REL,
Venus de Medicis,E19_Physical_Object,8956,8972,,,,,
twee worstelaars,E19_Physical_Object,8976,8992,,,,,
antiquen,E19_Physical_Object,9007,9015,,,,,
schoone van Kurk nagemaakte ruines,E19_Physical_Object,9027,9061,,,,,
Palazo di Maecenate,E18_Physical_Thing,9066,9085,NIL,NIL,,NO REL,
Tivoli,E53_Place,9089,9095,Q159605,3165624,,NO REL,
Bagno della nimfa Egeria,E18_Physical_Thing,9101,9125,Q21208527,NIL,,NO REL,
Aristoteles,E19_Physical_Object,9135,9146,,,Expression,,
zaalen,E53_Place,9186,9192,NIL,NIL,Rooms in museum,IN,He implies he is IN here by describing what is indsie!
gebouw voor de vergadering der standen,E18_Physical_Thing,9259,9297,NIL,NIL,,IN,He implies he is IN here by describing what is indsie! (troon voor de Koning)
troon voor de Koning,E19_Physical_Object,9347,9367,,,,,
kamer,E53_Place,9519,9524,NIL,NIL,,IN,Arguably also TO and FROM or THRU
versteeningen,E19_Physical_Object,9529,9542,,,,,
mineralen,E19_Physical_Object,9544,9553,,,,,
schelpen,E20_Biological_Object,9557,9565,,,,,
vertrek,E53_Place,9636,9643,NIL,NIL,,IN,Arguably also TO and FROM or THRU
oude penningen,E19_Physical_Object,9648,9662,,,,,
kleine beeldjes,E19_Physical_Object,9720,9735,,,,,
antiquiteiten,E19_Physical_Object,9737,9750,,,,,
groote verzameling van edelgesteenten,E19_Physical_Object,9760,9797,,,,,
Onyx,E19_Physical_Object,9819,9823,,,Expression,,
kamer,E53_Place,9888,9893,NIL,NIL,,IN,Arguably also TO and FROM or THRU
pretiosa,E19_Physical_Object,9946,9954,,,,,
dingen uit barnsteen gemaakt,E19_Physical_Object,10108,10136,,,,,
kamer,E53_Place,10194,10199,NIL,NIL,,IN,Arguably also TO and FROM or THRU
vesting Rheinfels,E18_Physical_Thing,10211,10228,Q567643,2847637,,NO REL,
mozaiek,E19_Physical_Object,10233,10240,,,,,
vertrek,E53_Place,10260,10267,NIL,NIL,,IN,Arguably also TO and FROM or THRU
klokken,E19_Physical_Object,10279,10286,,,,,
pendules,E19_Physical_Object,10287,10295,,,,,
horlogies,E19_Physical_Object,10299,10308,,,,,
klokken,E19_Physical_Object,10365,10372,,,,,
schilderyen,E19_Physical_Object,10399,10410,,,,,
beeld waarin een uurwerk schoot op zekere tyden een pistool af,E19_Physical_Object,10435,10497,,,,,
laatste kamer,E53_Place,10537,10550,NIL,NIL,,IN,Arguably also TO and FROM or THRU
mosaiek,E19_Physical_Object,10584,10591,,,,,
twee kamers,E53_Place,10656,10667,NIL,NIL,,IN,Arguably also TO and FROM or THRU
breede trap,E18_Physical_Thing,10736,10747,NIL,NIL,,THRU,"they walked up these stairs, so THRU"
oude wapentuigen gevuld een vyftigtal bogen,E19_Physical_Object,10789,10832,,,,,
zwaarden,E19_Physical_Object,10926,10934,,,,,
Heilige Land,E53_Place,11003,11015,Q48175,NIL,,NO REL,
laatste zaal,E53_Place,11110,11122,NIL,NIL,,IN,Arguably also TO and FROM or THRU
19 landgraven & landgravinnen,E19_Physical_Object,11157,11186,,,,,
stoelen,E19_Physical_Object,11277,11284,,,,,
museum,E18_Physical_Thing,11536,11542,Q449280,NIL,,IN,
boekery,E53_Place,11845,11852,NIL,NIL,Library in the Museum Fridericanum,IN,Arguably also TO and FROM or THRU
gebouw,E18_Physical_Thing,11878,11884,Q449280,NIL,refers to the Fridericanum,IN,
locaal,E53_Place,11962,11968,NIL,NIL,,IN,
het 2de deel van de door de Heeren Tydeman & van Campen uitgegevene Mnemosyne,F2_Expression,12246,12323,,,,,
catalogus,E31_Document,12431,12440,,,,,
reaal catalogue,E31_Document,12540,12555,,,,,
reaal catalogus,E31_Document,12779,12794,,,,,
reaal catalogus,E31_Document,12846,12861,,,,,
schilderyen,E19_Physical_Object,13138,13149,,,,,
paleis Bellevue,E18_Physical_Thing,13157,13172,Q1541968,NIL,,IN,
schoone stukken,E19_Physical_Object,13214,13229,,,,,
schoone stukken,E19_Physical_Object,13462,13477,,,,,
stuk,E19_Physical_Object,13509,13513,,,,,
een groot stuk,E19_Physical_Object,13562,13576,,,,,
een stier,F2_Expression,13595,13604,,,,,
een klein strandgezicht,E19_Physical_Object,13630,13653,,,Painting,,
Scheveningen,E53_Place,13658,13670,Q837211,2747599,,NO REL,
"een postillon die, hoe men zich ook plaatste, steeds naar eene andere kant scheen te ryden",F2_Expression,13716,13806,,,,,
Parys,E53_Place,14020,14025,Q90,2988507,,NO REL,
gallery,E53_Place,14054,14061,NIL,NIL,,IN,
2 verdiepingen,E53_Place,14085,14099,NIL,NIL,,NEAR,Not clear on what floor he currently is? so NEAR seems more precise than IN
de ruines van de schildergallery,E53_Place,14175,14207,NIL,NIL,,NEAR,
danszaal,E53_Place,14222,14230,NIL,NIL,,NEAR,
schilderyen,E19_Physical_Object,14302,14313,,,,,
eene Cleopatra,E19_Physical_Object,14459,14473,,,,,
Parys,E53_Place,14492,14497,Q90,2988507,,NO REL,
eene Ariadne,F2_Expression,14545,14557,,,"Refers to the imagery of ""an Ariadne"" not to a physical object. therefore it can",,
Cleopatra,F2_Expression,14686,14695,,,"This refers to the imagery, and therefore expression, while the first mention of",,
Cassel,E53_Place,14764,14770,Q2865,2892519,,NO REL,refers to a painter from Cassel
paleis Belle vue,E18_Physical_Thing,14793,14809,Q1541968,NIL,,IN,It is implied the narrator is inside!
logement de Keurvorst,E18_Physical_Thing,14951,14972,NIL,NIL,,NO REL,He is not currently inside the logement. But it is mentioned hat the Queen slept there NO REL
meubels,E19_Physical_Object,14987,14994,,,,,
groote spiegels,E19_Physical_Object,15110,15125,,,,,
gallery,E53_Place,15132,15139,NIL,NIL,,IN,It is iplied the narrator is in this room in palace Bellevue
marmeren bad,E18_Physical_Thing,15278,15290,Q1902237,NIL,,IN,Implied that narrator is inside by describing what is inside
Orangerie,E18_Physical_Thing,15301,15310,Q2028171,NIL,,IN,Implied that narrator is inside by describing what is inside
gebouw,E18_Physical_Thing,15368,15374,NIL,NIL,,IN,Implied that narrator is inside by describing what is inside
vierkant vertrek,E53_Place,15510,15526,NIL,NIL,room in the orangerie,IN,
vloeren,E18_Physical_Thing,15538,15545,NIL,NIL,,THRU,"Little bit of an ambigious entity, i guess you go THRU the floors when walking over them?"
muren,E18_Physical_Thing,15547,15552,NIL,NIL,,NEAR,
vercierselen,E19_Physical_Object,15556,15568,,,,,
Het bad,E18_Physical_Thing,15659,15666,Q1902237,NIL,,IN,
acht Corintische pylaren,E18_Physical_Thing,15729,15753,NIL,NIL,,NEAR,
koepel,E18_Physical_Thing,15770,15776,NIL,NIL,,NEAR,"Not are not really IN a dome, more underneath it? so NEAR"
de reizen,F2_Expression,15859,15868,,,,,
bladzyde 162 en 163,F2_Expression,15903,15922,,,,,
kanon kogel,E19_Physical_Object,16097,16108,,,,,
30 september 1813,E52_Time_Span,16132,16149,,,,,
schoone gebouw,E18_Physical_Thing,16194,16208,Q2028171,NIL,Refers to Orangerie Kassel,NO REL,Mentioned i  context of a different event. Not a travel event
uitgeschotene hoek,E19_Physical_Object,16298,16316,,,,,
30 september 1813,E52_Time_Span,16328,16345,,,,,
gebouw,E18_Physical_Thing,16366,16372,NIL,NIL,,NEAR,"Describes the proximity of the Karlsaue to the palace. He is later inside the Karlsasue, so probably NEAR is correct"
Aue,E53_Place,16385,16388,Q878589,2892914,,IN,
Aue-Garten,E53_Place,16392,16402,Q878589,2892914,,IN,
lange linden allee,E53_Place,16468,16486,NIL,NIL,,THRU,Walked over to the 'vyver'
vyver,E18_Physical_Thing,16544,16549,NIL,NIL,,NEAR,Narrators are not arguably not IN the lake for a swim... so NEAR
kerken,E18_Physical_Thing,16666,16672,NIL,NIL,,NO REL,"generic mentions of the Churches of Cassel. indicating he is there. (although this could be implied from context, so maybe NEAR)"
Roomsche kerk,E18_Physical_Thing,16766,16779,NIL,NIL,,IN,Context implies he is going inside; he sees the organ inside the church
logement,E18_Physical_Thing,16794,16802,NIL,NIL,,NEAR,"The Roomsche kerk , where the narrator is, is close to the 'logement' so NEAR"
ronden koepel,E18_Physical_Thing,16873,16886,NIL,NIL,,NEAR,"He is not IN the dome but underneath it, so NEAR"
kolommen,E18_Physical_Thing,16896,16904,NIL,NIL,,NEAR,
galery,E53_Place,16933,16939,NIL,NIL,,NEAR,
orgel,E19_Physical_Object,16951,16956,,,,,
galery,E53_Place,16980,16986,NIL,NIL,,NEAR,
colommen,E18_Physical_Thing,16998,17006,NIL,NIL,,NEAR,
koepelvormige dak,E18_Physical_Thing,17017,17034,NIL,NIL,,NEAR,
marmeren hoogaltaar,E18_Physical_Thing,17053,17072,NIL,NIL,,NEAR,
drie circelvormige trappen,E18_Physical_Thing,17076,17102,NIL,NIL,,NEAR,
de koepel,E18_Physical_Thing,17113,17122,NIL,NIL,,NEAR,
schilderyen,E19_Physical_Object,17164,17175,,,,,
kerk,E18_Physical_Thing,17202,17206,NIL,NIL,,IN,Narraotr talks about works of TIschbein IN the church
Brüder,E18_Physical_Thing,17283,17289,Q15106410,NIL,Bruderkerk,IN,"They 'saw' it, which very likely means the were IN the churches"
Domkerk,E18_Physical_Thing,17296,17303,Q2776250,NIL,Martinskirche,IN,"They saw it, which very likely means the were IN the churches"
tombes,E53_Place,17328,17334,NIL,NIL,Room inside church (spatial = place),IN,"They saw it, which very likely means the were IN the churches"
6 groote schilden,E19_Physical_Object,17390,17407,,,,,
1814,E52_Time_Span,17452,17456,,,,,
"Cassels söhne die sich im Jahre 1812 dem Vaterlande, unter anführung des tapferen Kurprinses, weiheten.",F2_Expression,17510,17613,,,,,
Jahre 1812,E52_Time_Span,17536,17546,,,,,
Vaterlande,E53_Place,17551,17561,Q183,2921044,,NO REL,
zevende schild,E19_Physical_Object,17649,17663,,,,,
Kweekschool voor onderwyzers,E18_Physical_Thing,17693,17721,NIL,NIL,,IN,
1809,E52_Time_Span,17975,17979,,,,,
brief,F2_Expression,18005,18010,,,,,
bladzyde 170-188 van het eerste deel,F2_Expression,18052,18088,,,,,
Comedie,E18_Physical_Thing,18310,18317,Q63039258,NIL,,IN,
loge,E53_Place,18378,18382,NIL,NIL,"Room in the Comedie, so its an extent of space and therefore a E53 Place",NEAR,
toneel,E53_Place,18391,18397,NIL,NIL,Room inside the comedie,NEAR,
twintig jaar,E52_Time_Span,18786,18798,,,,,
een groot driekantige hoed,E19_Physical_Object,18882,18908,,,,,
vervaarlyke stokken,E19_Physical_Object,18994,19013,,,,,
zwane ey,E20_Biological_Object,19144,19152,,,,,
observatorium,E18_Physical_Thing,19270,19283,NIL,NIL,,NO REL,They were not able to visit!
Wilhelms Brücke,E18_Physical_Thing,19440,19455,NIL,NIL,http://www.kasselwiki.de/index.php?title=Wilhelmsbr%C3%BCcke,NO REL,reference to left page
Cassel,E53_Place,19459,19465,Q2865,2892519,,NO REL,reference to left page
Göttingen,E53_Place,19498,19507,Q3033,2918632,,NO REL,Future destination
Cassel,E53_Place,19565,19571,Q2865,2892519,,NO REL,"Dialogue with the reader, figure of speech about having walked been through cassel 'together'"
Fulda,E53_Place,19793,19798,Q6434,NIL,,NEAR,"Narrator does not explicitly say that he visited the Fulda, but he is in Cassel so he is NEAR"
Wilhelmsbrug,E18_Physical_Thing,19860,19872,NIL,NIL,http://www.kasselwiki.de/index.php?title=Wilhelmsbr%C3%BCcke,NEAR,
in 1788 begonnen en in 1794 voltooid,E52_Time_Span,19947,19983,,,,,
Cassel,E53_Place,20061,20067,Q2865,2892519,,NO REL,"refers to the squares that are in cassel, no relation to travel group"
Leipsicher plein,E53_Place,20115,20131,Q100507321,NIL,Leipziger Platz,IN,
Leipsicher poort,E18_Physical_Thing,20147,20163,NIL,NIL,,IN,
paradeplaats,E53_Place,20168,20180,NIL,NIL,,IN,
Kasern plaats,E53_Place,20187,20200,NIL,NIL,,IN,
coffyhuis,E18_Physical_Thing,20301,20310,NIL,NIL,,IN,
4 bovenkamers,E53_Place,20329,20342,NIL,NIL,,IN,
Frederiksplein,E53_Place,20421,20435,Q1430309,11001975,,IN,
dubbele linden allee,E53_Place,20527,20547,NIL,NIL,,NEAR,"Not mentioned he walked over this road neccesrially. For the squares, it is easier to imply he has visited."
Koningsplein,E53_Place,20553,20565,Q1796444,NIL,königsplatz,IN,
Karelsplein,E53_Place,20658,20669,Q100509241,NIL,,IN,
marmeren beeld van den landgraaf Karel,E18_Physical_Thing,20745,20783,Q117323794,NIL,,NEAR,
einde der 17de Eeuw,E52_Time_Span,20795,20814,,,,,
boven nieuw stad,E53_Place,20833,20849,Q15123313,NIL,Oberneustadt (Kassel),IN,
Franryk,E53_Place,20862,20869,Q142,3017382,,NO REL,
Edict van Nantes,E31_Document,20896,20912,,,,,
standbeelden van andere landgraven,E18_Physical_Thing,21008,21042,NIL,NIL,,NEAR,
Cassel,E53_Place,21155,21161,Q2865,2892519,,NO REL,descriptive for the streets mentioned
Konings,E53_Place,21169,21176,NIL,NIL,Konings straat,IN,"He calls these streets the most beuatiful, so we assume he was IN these streets"
Bellevue straat,E53_Place,21183,21198,NIL,NIL,,IN,"He calls these streets the most beuatiful, so we assume he was IN these streets"
boven nieuwstad,E53_Place,21211,21226,Q15123313,NIL,Oberneustadt Kassel,IN,
Wilhelmshöhe,E18_Physical_Thing,21360,21372,Q447441,3207202,,NO REL,
Göttingen,E53_Place,21389,21398,Q3033,2918632,,NO REL,
