text,label,start_char,end_char,wikidata_qid,geonames_id,note
museum,E18_Physical_Thing,7378,7384,Q449280,NIL,
het eerste vertrek,E53_Place,7550,7568,NIL,NIL,
vogeleyeren,E20_Biological_Object,7623,7634,,,
"de brieven voornoemd 1 deel bl 167, 168, 169",F2_Expression,7710,7754,,,
houtbibliotheek,E53_Place,7768,7783,NIL,NIL,Houtbibliotheek is a room inside the Museum Fridericanum
Academiesche boekery,E18_Physical_Thing,7861,7881,Q200899,NIL,
Groningen,E53_Place,7885,7894,Q749,2755251,
stam van eene lauwrierboom,E20_Biological_Object,7922,7948,,,
was geboetzeerde vruchten,E20_Biological_Object,7983,8008,,,
Tweede Kamer,E53_Place,8064,8076,NIL,NIL,Second room in the Museum Fridericianum
opgezette vogels,E20_Biological_Object,8099,8115,,,
Casuarus,E20_Biological_Object,8137,8145,,,
paradysvogels,E20_Biological_Object,8170,8183,,,
Lynnaeische Systema,F2_Expression,8209,8228,,,
derde Kamer,E53_Place,8261,8272,NIL,NIL,Third room of the Museum Fridericianum
viervoetige dieren,E20_Biological_Object,8288,8306,,,
opgezette en een gesceletteerde olyphant,E20_Biological_Object,8350,8390,,,
diergaarde,E53_Place,8438,8448,NIL,NIL,
leeuw,E20_Biological_Object,8470,8475,,,
tyger,E20_Biological_Object,8477,8482,,,
Kaapsche ezel,E20_Biological_Object,8484,8497,,,
luipaard,E20_Biological_Object,8499,8507,,,
drommedaris,E20_Biological_Object,8509,8520,,,
wild zwyn,E20_Biological_Object,8522,8531,,,
rendier,E20_Biological_Object,8535,8542,,,
galery door eene ry van zuilen ondersteund,E53_Place,8601,8643,NIL,NIL,
vestibule,E53_Place,8666,8675,NIL,NIL,"Room in museum

"
geheele gebouw,E18_Physical_Thing,8684,8698,,,
Frederikplein,E53_Place,8721,8734,Q1430309,11001975.0,
veele stukken,E19_Physical_Object,8813,8826,,,
Parys,E53_Place,8876,8881,Q90,2988507,
Venus de Medicis,E19_Physical_Object,8956,8972,,,
twee worstelaars,E19_Physical_Object,8976,8992,,,
antiquen,E19_Physical_Object,9007,9015,,,
schoone van Kurk nagemaakte ruines,E19_Physical_Object,9027,9061,,,
Palazo di Maecenate,E18_Physical_Thing,9066,9085,NIL,NIL,
Tivoli,E53_Place,9089,9095,Q159605,3165624,
Bagno della nimfa Egeria,E18_Physical_Thing,9101,9125,Q21208527,NIL,
Aristoteles,E19_Physical_Object,9135,9146,,,Expression
zaalen,E53_Place,9186,9192,NIL,NIL,Rooms in museum
gebouw voor de vergadering der standen,E18_Physical_Thing,9259,9297,NIL,NIL,
troon voor de Koning,E19_Physical_Object,9347,9367,,,
kamer,E53_Place,9519,9524,NIL,NIL,
versteeningen,E19_Physical_Object,9529,9542,,,
mineralen,E19_Physical_Object,9544,9553,,,
schelpen,E20_Biological_Object,9557,9565,,,
vertrek,E53_Place,9636,9643,NIL,NIL,
oude penningen,E19_Physical_Object,9648,9662,,,
kleine beeldjes,E19_Physical_Object,9720,9735,,,
antiquiteiten,E19_Physical_Object,9737,9750,,,
groote verzameling van edelgesteenten,E19_Physical_Object,9760,9797,,,
Onyx,E19_Physical_Object,9819,9823,,,Expression
kamer,E53_Place,9888,9893,NIL,NIL,
pretiosa,E19_Physical_Object,9946,9954,,,
dingen uit barnsteen gemaakt,E19_Physical_Object,10108,10136,,,
kamer,E53_Place,10194,10199,NIL,NIL,
vesting Rheinfels,E18_Physical_Thing,10211,10228,Q567643,2847637,
mozaiek,E19_Physical_Object,10233,10240,,,
vertrek,E53_Place,10260,10267,NIL,NIL,
klokken,E19_Physical_Object,10279,10286,,,
pendules,E19_Physical_Object,10287,10295,,,
horlogies,E19_Physical_Object,10299,10308,,,
klokken,E19_Physical_Object,10365,10372,,,
schilderyen,E19_Physical_Object,10399,10410,,,
beeld waarin een uurwerk schoot op zekere tyden een pistool af,E19_Physical_Object,10435,10497,,,
laatste kamer,E53_Place,10537,10550,NIL,NIL,
mosaiek,E19_Physical_Object,10584,10591,,,
twee kamers,E53_Place,10656,10667,NIL,NIL,
breede trap,E18_Physical_Thing,10736,10747,NIL,NIL,
oude wapentuigen gevuld een vyftigtal bogen,E19_Physical_Object,10789,10832,,,
zwaarden,E19_Physical_Object,10926,10934,,,
Heilige Land,E53_Place,11003,11015,Q48175,NIL,
laatste zaal,E53_Place,11110,11122,NIL,NIL,
19 landgraven & landgravinnen,E19_Physical_Object,11157,11186,,,
stoelen,E19_Physical_Object,11277,11284,,,
museum,E18_Physical_Thing,11536,11542,Q449280,NIL,
boekery,E53_Place,11845,11852,NIL,NIL,Library in the Museum Fridericanum
gebouw,E18_Physical_Thing,11878,11884,Q449280,NIL,refers to the Fridericanum
locaal,E53_Place,11962,11968,NIL,NIL,
het 2de deel van de door de Heeren Tydeman & van Campen uitgegevene Mnemosyne,F2_Expression,12246,12323,,,
catalogus,E31_Document,12431,12440,,,
reaal catalogue,E31_Document,12540,12555,,,
reaal catalogus,E31_Document,12779,12794,,,
reaal catalogus,E31_Document,12846,12861,,,
schilderyen,E19_Physical_Object,13138,13149,,,
paleis Bellevue,E18_Physical_Thing,13157,13172,Q1541968,NIL,
schoone stukken,E19_Physical_Object,13214,13229,,,
schoone stukken,E19_Physical_Object,13462,13477,,,
stuk,E19_Physical_Object,13509,13513,,,
een groot stuk,E19_Physical_Object,13562,13576,,,
een stier,F2_Expression,13595,13604,,,
een klein strandgezicht,E19_Physical_Object,13630,13653,,,Painting
Scheveningen,E53_Place,13658,13670,Q837211,2747599,
"een postillon die, hoe men zich ook plaatste, steeds naar eene andere kant scheen te ryden",F2_Expression,13716,13806,,,
Parys,E53_Place,14020,14025,Q90,2988507,
gallery,E53_Place,14054,14061,NIL,NIL,
2 verdiepingen,E53_Place,14085,14099,NIL,NIL,
de ruines van de schildergallery,E53_Place,14175,14207,NIL,NIL,
danszaal,E53_Place,14222,14230,NIL,NIL,
schilderyen,E19_Physical_Object,14302,14313,,,
eene Cleopatra,E19_Physical_Object,14459,14473,,,
Parys,E53_Place,14492,14497,Q90,2988507,
eene Ariadne,F2_Expression,14545,14557,,,"Refers to the imagery of ""an Ariadne"" not to a physical object. therefore it can"
Cleopatra,F2_Expression,14686,14695,,,"This refers to the imagery, and therefore expression, while the first mention of"
Cassel,E53_Place,14764,14770,Q2865,2892518,
paleis Belle vue,E18_Physical_Thing,14793,14809,Q1541968,NIL,
logement de Keurvorst,E18_Physical_Thing,14951,14972,NIL,NIL,
meubels,E19_Physical_Object,14987,14994,,,
groote spiegels,E19_Physical_Object,15110,15125,,,
gallery,E53_Place,15132,15139,NIL,NIL,
marmeren bad,E18_Physical_Thing,15278,15290,Q1902237,NIL,
Orangerie,E18_Physical_Thing,15301,15310,Q2028171,NIL,
gebouw,E18_Physical_Thing,15368,15374,NIL,NIL,
vierkant vertrek,E53_Place,15510,15526,NIL,NIL,room in the orangerie
vloeren,E18_Physical_Thing,15538,15545,NIL,NIL,
muren,E18_Physical_Thing,15547,15552,NIL,NIL,
vercierselen,E19_Physical_Object,15556,15568,,,
Het bad,E18_Physical_Thing,15659,15666,Q1902237,NIL,
acht Corintische pylaren,E18_Physical_Thing,15729,15753,NIL,NIL,
koepel,E18_Physical_Thing,15770,15776,NIL,NIL,
de reizen,F2_Expression,15859,15868,,,
bladzyde 162 en 163,F2_Expression,15903,15922,,,
kanon kogel,E19_Physical_Object,16097,16108,,,
30 September 1813,E52_Time_Span,16132,16149,,,
schoone gebouw,E18_Physical_Thing,16194,16208,Q2028171,NIL,Refers to Orangerie Kassel
uitgeschotene hoek,E19_Physical_Object,16298,16316,,,
30 September 1813,E52_Time_Span,16328,16345,,,
gebouw,E18_Physical_Thing,16366,16372,NIL,NIL,
Aue,E53_Place,16385,16388,Q878589,2892914,
Aue-Garten,E53_Place,16392,16402,Q878589,2892914,
lange linden allee,E53_Place,16468,16486,NIL,NIL,
vyver,E18_Physical_Thing,16544,16549,NIL,NIL,
kerken,E18_Physical_Thing,16666,16672,NIL,NIL,
Roomsche kerk,E18_Physical_Thing,16766,16779,NIL,NIL,
logement,E18_Physical_Thing,16794,16802,NIL,NIL,
ronden koepel,E18_Physical_Thing,16873,16886,NIL,NIL,
kolommen,E18_Physical_Thing,16896,16904,NIL,NIL,
galery,E53_Place,16933,16939,NIL,NIL,
orgel,E19_Physical_Object,16951,16956,,,
galery,E53_Place,16980,16986,NIL,NIL,
colommen,E18_Physical_Thing,16998,17006,NIL,NIL,
koepelvormige dak,E18_Physical_Thing,17017,17034,NIL,NIL,
marmeren hoogaltaar,E18_Physical_Thing,17053,17072,NIL,NIL,
drie circelvormige trappen,E18_Physical_Thing,17076,17102,NIL,NIL,
de koepel,E18_Physical_Thing,17113,17122,NIL,NIL,
schilderyen,E19_Physical_Object,17164,17175,,,
kerk,E18_Physical_Thing,17202,17206,NIL,NIL,
Brüder,E18_Physical_Thing,17283,17289,Q15106410,NIL,Bruderkerk
Domkerk,E18_Physical_Thing,17296,17303,Q2776250,NIL,Martinskirche
tombes,E53_Place,17328,17334,NIL,NIL,Room inside church (spatial = place)
6 groote schilden,E19_Physical_Object,17390,17407,,,
1814,E52_Time_Span,17452,17456,,,
"Cassels söhne die sich im Jahre 1812 dem Vaterlande, unter anführung des tapferen Kurprinses, weiheten.",F2_Expression,17510,17613,,,
Jahre 1812,E52_Time_Span,17536,17546,,,
Vaterlande,E53_Place,17551,17561,Q183,2921044,
zevende schild,E19_Physical_Object,17649,17663,,,
Kweekschool voor onderwyzers,E18_Physical_Thing,17693,17721,NIL,NIL,
1809,E52_Time_Span,17975,17979,,,
brief,F2_Expression,18005,18010,,,
bladzyde 170-188 van het eerste deel,F2_Expression,18052,18088,,,
Comedie,E18_Physical_Thing,18310,18317,Q63039258,NIL,
loge,E53_Place,18378,18382,NIL,NIL,"Room in the Comedie, so its an extent of space and therefore a E53 Place"
toneel,E53_Place,18391,18397,NIL,NIL,Room inside the comedie
twintig jaar,E52_Time_Span,18786,18798,,,
een groot driekantige hoed,E19_Physical_Object,18882,18908,,,
vervaarlyke stokken,E19_Physical_Object,18994,19013,,,
zwane ey,E20_Biological_Object,19144,19152,,,
observatorium,E18_Physical_Thing,19270,19283,NIL,NIL,
Wilhelms Brücke,E18_Physical_Thing,19440,19455,NIL,NIL,http://www.kasselwiki.de/index.php?title=Wilhelmsbr%C3%BCcke
Cassel,E53_Place,19459,19465,Q2865,2892518,
Göttingen,E53_Place,19498,19507,Q3033,2918632,
Cassel,E53_Place,19565,19571,Q2865,2892518,
Fulda,E53_Place,19793,19798,Q6434,NIL,
Wilhelmsbrug,E18_Physical_Thing,19860,19872,NIL,NIL,http://www.kasselwiki.de/index.php?title=Wilhelmsbr%C3%BCcke
in 1788 begonnen en in 1794 voltooid,E52_Time_Span,19947,19983,,,
Cassel,E53_Place,20061,20067,Q2865,2892518,
Leipsicher plein,E53_Place,20115,20131,Q100507321,NIL,Leipziger Platz
Leipsicher poort,E18_Physical_Thing,20147,20163,NIL,NIL,
paradeplaats,E53_Place,20168,20180,NIL,NIL,
Kasern plaats,E53_Place,20187,20200,NIL,NIL,
coffyhuis,E18_Physical_Thing,20301,20310,NIL,NIL,
4 bovenkamers,E53_Place,20329,20342,NIL,NIL,
Frederiksplein,E53_Place,20421,20435,Q1430309,11001975,
dubbele linden allee,E53_Place,20527,20547,NIL,NIL,
Koningsplein,E53_Place,20553,20565,Q1796444,NIL,königsplatz
Karelsplein,E53_Place,20658,20669,Q100509241,NIL,
marmeren beeld van den landgraaf Karel,E18_Physical_Thing,20745,20783,Q117323794,NIL,
einde der 17de Eeuw,E52_Time_Span,20795,20814,,,
boven nieuw stad,E53_Place,20833,20849,Q15123313,NIL,Oberneustadt (Kassel)
Franryk,E53_Place,20862,20869,Q142,3017382,
Edict van Nantes,E31_Document,20896,20912,,,
standbeelden van andere landgraven,E18_Physical_Thing,21008,21042,NIL,NIL,
Cassel,E53_Place,21155,21161,Q2865,2892518,
Konings,E53_Place,21169,21176,NIL,NIL,Konings straat
Bellevue straat,E53_Place,21183,21198,NIL,NIL,
boven nieuwstad,E53_Place,21211,21226,Q15123313,NIL,Oberneustadt Kassel
Wilhelmshöhe,E18_Physical_Thing,21360,21372,Q447441,3207202,
Göttingen,E53_Place,21389,21398,Q3033,2918632,
